日付,商品名,数量
2026-02-03,どら焼き,43
2026-02-03,豆大福,30
2026-02-03,カステラ,9
2026-02-03,シュークリーム,29
2026-02-03,プリン,31
2026-02-03,苺ショートケーキ,18
2026-02-03,食パン,59
2026-02-03,クロワッサン,41
2026-02-03,あんぱん,18
2026-02-04,どら焼き,31
2026-02-04,豆大福,28
2026-02-04,カステラ,13
2026-02-04,シュークリーム,48
2026-02-04,プリン,29
2026-02-04,苺ショートケーキ,19
2026-02-04,食パン,40
2026-02-04,クロワッサン,27
2026-02-04,あんぱん,30
2026-02-04,抹茶ラテ(店内),10
2026-02-05,どら焼き,31
2026-02-05,豆大福,30
2026-02-05,カステラ,13
2026-02-05,シュークリーム,50
2026-02-05,プリン,30
2026-02-05,苺ショートケーキ,16
2026-02-05,食パン,60
2026-02-05,クロワッサン,28
2026-02-05,あんぱん,20
2026-02-05,抹茶ラテ(店内),9
2026-02-06,どら焼き,43
2026-02-06,豆大福,22
2026-02-06,カステラ,10
2026-02-06,シュークリーム,45
2026-02-06,プリン,29
2026-02-06,苺ショートケーキ,19
2026-02-06,食パン,78
2026-02-06,クロワッサン,29
2026-02-06,あんぱん,22
2026-02-06,抹茶ラテ(店内),8
2026-02-07,どら焼き,62
2026-02-07,豆大福,32
2026-02-07,カステラ,16
2026-02-07,シュークリーム,86
2026-02-07,プリン,36
2026-02-07,食パン,48
2026-02-07,クロワッサン,38
2026-02-07,あんぱん,19
2026-02-07,抹茶ラテ(店内),15
2026-02-08,どら焼き,57
2026-02-08,豆大福,41
2026-02-08,カステラ,17
2026-02-08,シュークリーム,75
2026-02-08,プリン,31
2026-02-08,苺ショートケーキ,37
2026-02-08,食パン,59
2026-02-08,クロワッサン,53
2026-02-08,あんぱん,34
2026-02-08,抹茶ラテ(店内),10
2026-02-09,どら焼き,44
2026-02-09,豆大福,37
2026-02-09,カステラ,12
2026-02-09,シュークリーム,45
2026-02-09,プリン,37
2026-02-09,苺ショートケーキ,15
2026-02-09,食パン,74
2026-02-09,クロワッサン,37
2026-02-09,あんぱん,24
2026-02-09,抹茶ラテ(店内),9
2026-02-10,どら焼き,43
2026-02-10,豆大福,34
2026-02-10,カステラ,13
2026-02-10,シュークリーム,39
2026-02-10,プリン,27
2026-02-10,苺ショートケーキ,15
2026-02-10,食パン,49
2026-02-10,クロワッサン,28
